Sample,X,Y,Z
0,0.000,0.020,-1.105
1,-0.031,-0.012,-1.090
2,-0.082,0.004,-1.066
3,-0.090,0.035,-1.035
4,-0.012,0.086,-0.953
5,-0.004,0.070,-0.957
6,-0.062,0.043,-0.996
7,-0.059,0.023,-0.992
8,-0.062,0.016,-1.012
9,-0.062,0.055,-0.961
10,-0.023,0.043,-0.926
11,0.008,0.012,-0.926
12,0.027,0.023,-0.918
13,0.074,0.020,-0.914
14,0.090,-0.008,-0.930
15,0.086,-0.016,-0.953
16,0.066,0.035,-0.953
17,0.039,0.070,-0.949
18,0.023,0.047,-0.988
19,0.020,0.039,-0.984
20,0.012,0.070,-0.984
21,-0.035,0.000,-1.031
22,-0.039,0.000,-1.016
23,-0.020,0.000,-0.992
24,-0.016,0.023,-0.988
25,-0.012,0.023,-0.988
26,-0.039,0.020,-1.008
27,-0.035,0.027,-0.980
28,0.016,0.039,-0.973
29,0.031,0.043,-0.980
30,0.031,0.059,-0.977
31,0.012,0.066,-0.973
32,0.008,0.047,-0.992
33,0.008,0.008,-1.004
34,0.020,0.016,-0.973
35,0.023,0.008,-0.945
36,0.023,-0.004,-0.949
37,0.012,0.004,-0.949
38,0.004,0.020,-0.941
39,0.023,0.004,-0.949
40,0.043,0.023,-0.945
41,0.059,0.031,-0.945
42,0.043,0.051,-0.953
43,0.062,0.047,-0.988
44,0.043,0.051,-0.992
45,0.043,0.055,-0.988
46,0.023,0.039,-1.004
47,0.012,0.023,-1.000
48,0.012,0.016,-0.996
49,0.023,0.016,-0.980
50,0.016,0.012,-0.973
51,-0.012,0.016,-0.984
52,-0.031,0.043,-0.965
53,-0.047,0.039,-0.973
54,-0.043,0.059,-0.961
55,-0.012,0.066,-0.969
56,-0.004,0.051,-0.973
57,0.004,0.027,-1.000
58,0.023,0.012,-1.000
59,0.035,0.012,-0.996
60,0.082,0.027,-0.980
61,0.098,0.000,-0.965
62,0.082,0.016,-0.953
63,0.059,0.027,-0.953
64,0.027,0.043,-0.965
65,0.031,0.031,-0.977
66,0.023,0.051,-0.965
67,0.023,0.051,-0.957
68,-0.008,0.062,-0.980
69,-0.043,0.039,-0.992
70,-0.027,0.008,-0.996
71,-0.012,-0.004,-0.992
72,-0.008,0.012,-0.969
73,-0.008,0.020,-0.961
