Sample,X,Y,Z
0,0.121,0.008,-1.031
1,0.020,0.012,-0.992
2,0.016,0.020,-0.988
3,0.012,0.016,-0.984
4,0.008,0.020,-0.984
5,0.008,0.016,-0.988
6,0.012,0.020,-0.992
7,0.012,0.023,-0.988
8,0.012,0.023,-0.992
9,0.016,0.027,-0.984
10,0.016,0.020,-0.992
11,0.016,0.020,-0.988
12,0.027,0.020,-0.980
13,0.023,0.012,-0.988
14,0.023,0.016,-0.984
15,0.016,0.020,-0.984
16,0.027,0.016,-0.980
17,0.020,0.023,-0.988
18,0.016,0.020,-0.984
19,0.016,0.023,-0.980
20,0.023,-0.012,-0.973
21,0.016,0.023,-0.988
22,0.012,0.023,-0.980
23,0.008,0.016,-0.988
24,0.016,0.004,-0.992
25,0.023,0.020,-0.984
26,0.008,0.020,-0.984
27,0.008,0.020,-0.984
28,0.016,0.016,-0.988
29,0.027,0.020,-0.988
30,0.023,0.016,-0.988
31,0.031,0.016,-0.984
32,0.023,0.023,-0.988
33,0.016,0.016,-0.988
34,0.023,0.016,-0.988
35,0.020,0.023,-0.984
36,0.016,0.016,-0.980
37,0.016,0.023,-0.988
38,0.012,0.020,-0.988
39,0.008,0.012,-0.984
40,0.012,-0.012,-1.004
41,0.012,0.012,-0.988
42,0.020,0.023,-0.984
43,0.012,0.020,-0.988
44,0.016,0.016,-0.984
45,0.027,0.020,-0.988
46,0.027,0.020,-0.992
47,0.016,0.020,-0.988
48,0.023,0.020,-0.992
49,0.027,0.023,-0.988
50,0.023,0.023,-0.984
51,0.008,0.023,-0.988
52,0.020,0.016,-0.988
53,0.020,0.020,-0.984
54,0.020,0.012,-0.988
55,0.012,0.020,-0.988
56,0.016,0.008,-0.984
57,0.016,0.023,-0.984
58,0.012,0.023,-0.980
59,0.016,0.016,-0.980
60,0.012,0.000,-0.977
61,0.035,0.016,-0.984
62,0.020,0.023,-0.980
63,0.023,0.023,-0.984
64,0.027,0.023,-0.988
65,0.027,0.020,-0.980
66,0.020,0.016,-0.980
67,0.023,0.012,-0.980
68,0.008,0.023,-0.988
69,0.012,0.020,-0.992
70,0.008,0.020,-0.988
71,0.012,0.016,-0.988
72,0.012,0.016,-0.988
73,0.012,0.012,-0.992
74,0.008,0.016,-0.996
75,0.016,0.023,-0.980
76,0.016,0.016,-0.984
77,0.016,0.020,-0.984
78,0.023,0.023,-0.988
79,0.027,0.016,-0.984
80,0.023,-0.020,-0.988
81,0.027,0.023,-0.992
82,0.023,0.020,-0.980
83,0.016,0.016,-0.992
84,0.020,0.023,-0.984
85,0.012,0.020,-0.988
86,0.012,0.012,-0.992
87,0.004,0.023,-0.988
88,0.008,0.020,-0.984
89,0.004,0.023,-0.984
90,0.004,0.012,-0.988
91,0.012,0.012,-0.988
92,0.012,0.023,-0.980
93,0.027,0.008,-0.988
94,0.105,-0.047,-1.000
95,0.031,-0.023,-0.934
96,-0.180,0.043,-0.945
97,-0.348,0.051,-0.992
98,-0.383,0.035,-0.969
99,-0.242,-0.188,-0.961
100,-0.629,-0.383,-1.000
101,-1.789,0.227,-0.820
102,-1.984,0.145,-1.445
103,-1.234,0.629,-0.789
104,0.156,0.355,-0.809
105,0.633,0.129,-0.902
106,0.586,0.105,-0.758
107,-0.098,-0.465,-1.637
108,0.246,0.180,-1.105
109,1.102,-0.277,-1.109
110,0.949,-0.176,-0.887
111,-0.148,0.062,-0.922
112,-0.941,0.250,-1.012
113,-0.973,0.047,-1.039
114,-0.559,0.004,-0.840
115,-0.176,0.012,-0.594
116,0.340,-0.586,-0.746
117,-1.164,-0.551,-0.883
118,-1.992,-0.203,-1.332
119,-1.992,-0.117,-1.773
120,-0.605,0.660,-0.809
121,1.879,0.680,0.234
122,1.816,-0.133,-0.004
123,-0.641,-0.902,-0.656
124,-1.891,-0.566,-1.758
125,-0.641,0.684,-1.078
126,1.738,0.367,-1.035
127,1.945,0.598,0.074
128,0.652,0.301,-0.574
129,-1.648,-0.637,-1.832
130,-1.566,-0.074,-1.508
131,-0.289,0.668,-0.957
132,1.641,0.309,-0.484
133,1.672,0.027,-0.168
134,-0.992,-0.039,-1.539
135,-1.961,-0.062,-1.461
136,-1.520,-0.164,-1.102
137,-0.027,-0.641,-1.484
138,0.812,0.887,0.461
139,-0.266,0.148,-0.438
140,-1.742,0.297,-1.125
141,-1.707,-0.281,-1.242
142,-0.840,-0.805,-1.602
143,0.406,0.246,-0.277
144,0.812,0.109,-0.320
145,0.043,0.211,-0.812
146,-0.734,-0.113,-1.262
147,-0.832,-0.391,-1.477
148,-0.074,-0.008,-1.359
149,0.383,0.289,-0.559
150,0.590,0.289,-0.625
151,0.172,0.094,-1.098
152,-0.234,-0.449,-1.535
153,-0.086,-0.242,-1.410
154,-0.172,0.348,-0.789
155,-0.234,0.254,-0.695
156,-0.352,0.219,-0.871
157,-0.695,0.141,-1.137
158,-0.598,-0.305,-1.336
159,-0.414,-0.133,-1.094
160,-0.453,0.074,-0.734
161,-0.359,0.301,-0.516
162,-0.309,0.039,-0.934
163,-0.617,-0.117,-1.168
164,-0.492,-0.242,-1.266
165,-0.320,-0.168,-1.020
166,-0.059,0.016,-0.652
167,0.047,0.273,-0.457
168,-0.195,0.043,-1.000
169,-0.383,-0.207,-1.375
170,-0.277,-0.141,-1.230
171,-0.094,0.098,-0.832
172,-0.059,0.242,-0.602
173,-0.164,0.137,-0.867
174,-0.422,0.074,-1.156
175,-0.594,-0.086,-1.312
176,-0.438,-0.074,-1.246
177,-0.223,0.215,-0.812
178,-0.164,0.250,-0.812
179,-0.246,0.066,-1.078
180,-0.340,-0.117,-1.266
181,-0.332,-0.215,-1.297
182,-0.191,-0.008,-1.004
183,0.004,0.160,-0.738
184,0.020,0.176,-0.770
185,0.062,-0.051,-1.000
186,0.055,-0.242,-1.129
187,0.117,-0.168,-0.996
188,0.258,-0.035,-0.820
189,0.320,0.176,-0.633
190,0.246,0.195,-0.723
191,0.211,-0.070,-1.078
192,0.254,-0.156,-1.070
193,0.242,-0.016,-0.961
194,0.270,0.023,-0.945
195,0.156,0.281,-0.707
196,-0.066,0.074,-1.125
197,-0.320,-0.016,-1.250
198,-0.348,0.051,-1.160
199,-0.215,0.012,-1.176
200,-0.156,0.199,-0.891
201,-0.145,0.117,-0.945
202,-0.277,-0.035,-1.227
203,-0.375,-0.121,-1.195
204,-0.262,-0.062,-1.164
205,-0.172,0.117,-1.004
206,0.199,0.129,-0.797
207,0.426,-0.031,-0.887
208,0.367,-0.102,-0.859
209,0.477,-0.074,-0.797
210,0.496,-0.121,-0.898
211,0.336,0.109,-0.664
212,0.203,0.156,-0.680
213,0.074,0.062,-0.922
214,-0.086,0.047,-0.949
215,-0.086,0.008,-1.047
216,0.000,0.031,-1.000
217,-0.074,0.035,-1.016
218,-0.059,0.004,-1.184
219,-0.082,-0.082,-1.219
220,-0.180,0.031,-1.172
221,-0.113,0.012,-1.234
222,-0.199,0.074,-1.113
223,-0.180,0.047,-1.121
224,0.023,-0.082,-1.148
225,0.039,-0.066,-0.992
226,0.090,-0.070,-0.988
227,0.129,0.020,-0.809
228,-0.016,0.141,-0.676
229,-0.020,0.098,-0.773
230,0.059,0.027,-0.738
231,-0.008,0.012,-0.824
232,0.078,0.000,-0.906
233,0.312,-0.086,-0.879
234,0.359,-0.078,-0.898
235,0.430,-0.070,-0.953
236,0.297,-0.078,-1.000
237,-0.102,0.047,-1.152
238,-0.211,0.098,-1.199
239,-0.168,0.117,-1.105
240,-0.184,0.168,-1.152
241,-0.035,0.070,-1.066
242,-0.180,0.098,-1.074
243,-0.285,0.066,-1.184
244,-0.199,0.039,-1.070
245,-0.152,0.074,-1.012
246,-0.012,0.000,-0.977
247,0.070,0.000,-0.848
248,-0.031,0.027,-0.914
249,0.230,-0.094,-0.914
250,0.320,-0.027,-0.766
251,0.285,-0.035,-0.859
252,0.297,-0.117,-0.820
253,0.020,-0.012,-0.820
254,-0.172,0.059,-0.918
255,-0.121,0.004,-0.906
256,-0.164,0.051,-0.988
257,-0.062,0.059,-0.992
258,-0.035,0.039,-0.988
259,-0.148,0.078,-1.137
260,0.027,0.027,-1.152
261,0.129,0.031,-1.117
262,0.055,0.043,-1.184
263,0.066,-0.004,-1.160
264,-0.043,-0.012,-1.203
265,-0.082,0.105,-1.051
266,0.070,-0.031,-1.004
267,0.020,0.102,-0.871
268,0.098,0.035,-0.895
269,0.117,-0.125,-0.910
270,-0.078,0.043,-0.832
271,-0.016,0.004,-0.852
272,0.051,0.086,-0.770
273,0.062,0.137,-0.801
274,0.266,-0.004,-0.844
275,0.242,-0.082,-0.941
276,0.141,-0.051,-1.008
277,0.207,-0.121,-1.047
278,-0.004,0.086,-0.996
279,-0.031,0.031,-1.082
280,-0.098,-0.004,-1.078
281,-0.348,0.090,-1.199
282,-0.227,-0.031,-1.211
283,-0.152,0.035,-1.051
284,-0.203,0.023,-1.125
285,-0.051,0.004,-1.012
286,0.039,0.000,-1.043
287,-0.031,0.066,-0.992
288,0.207,0.062,-0.848
289,0.219,0.000,-0.898
290,0.242,0.008,-0.812
291,0.355,-0.082,-0.836
292,0.148,-0.020,-0.883
293,0.137,0.012,-0.844
294,0.078,0.055,-0.852
295,-0.164,0.059,-0.949
296,-0.082,-0.004,-0.977
297,-0.109,-0.004,-1.035
298,-0.238,0.027,-1.039
299,-0.117,0.031,-1.051
300,-0.078,0.105,-1.039
301,0.051,0.020,-1.102
302,0.215,-0.082,-1.129
303,0.051,-0.023,-1.129
304,0.055,0.000,-1.109
305,-0.020,0.016,-1.086
306,-0.074,0.117,-0.938
307,0.129,0.086,-0.887
308,0.102,-0.027,-0.973
309,-0.059,0.012,-0.941
310,-0.059,0.031,-0.883
311,-0.082,0.047,-0.867
312,-0.094,0.066,-0.859
313,-0.125,0.051,-0.898
314,-0.078,-0.039,-1.047
315,-0.004,0.008,-0.961
316,0.176,-0.062,-0.996
317,0.277,-0.078,-0.965
318,0.270,-0.027,-0.918
319,-0.008,0.039,-1.031
320,-0.078,0.027,-1.098
321,-0.066,0.062,-1.027
322,-0.184,0.082,-1.035
323,-0.125,0.012,-1.051
324,-0.066,0.031,-1.043
325,-0.012,0.020,-1.023
326,0.055,0.008,-0.949
327,0.090,-0.008,-1.023
328,-0.039,0.074,-0.961
329,0.016,0.086,-0.941
330,-0.043,0.039,-1.020
331,0.164,0.031,-0.902
332,0.242,0.016,-0.863
333,0.109,-0.109,-1.047
334,0.070,0.023,-0.918
335,0.070,-0.020,-0.996
336,0.016,-0.004,-0.938
337,-0.086,0.117,-0.836
338,-0.133,0.035,-1.016
339,-0.117,-0.027,-1.027
340,-0.062,0.059,-1.020
341,0.051,0.031,-1.027
342,0.395,-0.078,-1.004
343,0.324,-0.012,-0.984
344,0.156,-0.043,-1.043
345,0.047,0.004,-0.988
346,-0.078,0.008,-1.066
347,-0.164,0.059,-1.000
348,-0.086,0.051,-0.961
349,-0.113,0.016,-1.020
350,-0.059,0.000,-0.961
351,-0.094,0.020,-0.980
352,-0.098,-0.031,-1.008
353,0.000,0.004,-0.914
354,-0.168,0.055,-0.984
355,-0.109,-0.008,-1.008
356,0.086,0.094,-0.883
357,0.199,0.027,-0.957
358,0.348,-0.098,-0.945
359,0.324,-0.031,-0.926
360,0.102,-0.074,-1.016
361,0.172,-0.062,-0.980
362,-0.125,0.074,-0.965
363,-0.309,0.156,-0.957
364,-0.188,0.094,-0.973
365,-0.387,0.070,-1.090
366,-0.164,0.016,-1.043
367,0.176,-0.031,-0.949
368,0.145,-0.020,-0.996
369,0.199,0.000,-0.969
370,0.203,0.055,-0.988
371,0.078,0.035,-1.027
372,0.176,-0.070,-1.035
373,0.027,0.031,-1.027
374,0.082,0.031,-0.992
375,0.262,-0.016,-0.898
376,0.023,0.109,-0.918
377,0.094,0.020,-0.957
378,0.023,-0.012,-0.953
379,-0.375,0.105,-1.023
380,-0.227,0.012,-1.020
381,-0.070,0.035,-0.977
382,-0.102,0.078,-0.961
383,0.098,-0.031,-0.969
384,0.039,-0.051,-1.098
385,0.191,-0.090,-1.031
386,0.270,-0.102,-0.934
387,-0.078,0.051,-0.977
388,0.000,0.078,-0.922
389,0.062,0.086,-0.914
390,-0.223,0.121,-0.988
391,0.105,-0.094,-1.016
392,0.152,-0.020,-0.941
393,-0.121,0.137,-0.906
394,0.062,0.000,-0.949
395,-0.102,0.059,-1.035
396,-0.035,0.125,-0.957
397,0.152,-0.082,-1.016
398,-0.047,-0.020,-1.074
399,0.168,0.020,-0.980
400,0.367,-0.184,-1.023
401,0.098,0.027,-0.980
402,0.203,0.031,-0.906
403,-0.078,0.035,-1.035
404,-0.438,0.074,-1.066
405,-0.133,0.039,-0.992
406,-0.129,0.121,-0.898
407,-0.066,-0.016,-0.953
408,0.082,-0.016,-0.949
409,-0.211,0.062,-1.023
410,0.102,-0.086,-1.020
411,0.262,-0.035,-0.914
412,-0.004,0.156,-0.875
413,0.266,-0.062,-0.945
414,0.098,-0.078,-1.051
415,-0.176,0.078,-1.000
416,0.250,-0.070,-0.980
417,0.039,0.055,-0.945
418,-0.129,0.098,-1.016
419,0.000,0.004,-1.090
420,-0.176,0.051,-1.105
421,0.039,0.078,-0.965
422,0.137,0.059,-0.965
423,-0.070,0.043,-1.047
424,0.238,-0.066,-0.980
425,0.035,0.035,-0.984
426,-0.016,-0.004,-1.020
427,0.293,-0.027,-0.895
428,-0.020,0.098,-0.895
429,-0.012,-0.004,-0.949
430,0.141,-0.047,-0.930
431,-0.199,0.082,-0.938
432,-0.090,-0.035,-0.957
433,-0.043,0.008,-0.941
434,-0.301,0.117,-0.980
435,-0.043,0.020,-0.938
436,-0.086,-0.035,-1.043
437,-0.109,0.102,-0.988
438,0.141,-0.031,-1.031
439,0.020,-0.027,-1.121
440,0.191,0.020,-1.062
441,0.406,-0.062,-0.980
442,0.125,-0.012,-1.016
443,0.031,0.051,-0.957
444,-0.059,0.070,-1.020
445,-0.160,0.031,-1.035
