Sample,X,Y,Z
0,-0.023,-0.004,-1.098
1,0.012,0.016,-0.996
2,0.016,0.020,-0.992
3,0.027,0.020,-0.984
4,0.027,0.012,-0.992
5,0.031,0.023,-0.988
6,0.035,0.020,-0.984
7,0.043,0.016,-0.984
8,0.043,0.023,-0.984
9,0.027,0.016,-0.984
10,0.023,0.016,-0.984
11,0.008,0.020,-0.984
12,0.012,0.016,-0.984
13,0.004,0.020,-0.980
14,0.004,0.016,-0.980
15,-0.004,0.012,-0.988
16,0.004,0.016,-0.984
17,0.008,0.016,-0.984
18,0.020,0.020,-0.992
19,0.031,0.012,-0.984
20,0.043,-0.020,-0.984
21,0.023,0.016,-0.996
22,0.027,0.023,-0.980
23,0.043,0.020,-0.984
24,0.035,0.020,-0.988
25,0.027,0.023,-0.980
26,0.023,0.012,-0.984
27,0.012,0.023,-0.984
28,0.004,0.023,-0.988
29,0.004,0.020,-0.980
30,0.004,0.016,-0.988
31,0.004,0.020,-0.984
32,0.004,0.016,-0.992
33,0.004,0.020,-0.984
34,0.012,0.020,-0.984
35,0.016,0.020,-0.984
36,0.027,0.012,-0.988
37,0.031,0.020,-0.992
38,0.027,0.020,-0.988
39,0.039,0.020,-0.988
40,0.000,-0.047,-1.000
41,0.031,0.020,-0.988
42,0.027,0.020,-0.977
43,0.012,0.016,-0.988
44,0.004,0.016,-0.984
45,0.008,0.020,-0.984
46,0.000,0.023,-0.977
47,0.012,0.012,-0.988
48,0.004,0.023,-0.996
49,0.004,0.016,-0.992
50,0.008,0.012,-0.988
51,0.023,0.012,-0.988
52,0.023,0.031,-0.977
53,0.031,0.016,-0.988
54,0.027,0.016,-0.984
55,0.027,0.020,-0.977
56,0.039,0.020,-0.980
57,0.031,0.012,-0.980
58,0.027,0.016,-0.973
59,0.016,0.020,-0.984
60,-0.004,0.012,-0.996
61,0.016,0.020,-0.984
62,0.008,0.020,-0.980
63,0.004,0.012,-0.984
64,-0.004,0.016,-0.984
65,0.000,0.020,-0.988
66,0.008,0.012,-0.996
67,0.020,0.023,-0.980
68,0.027,0.016,-0.988
69,0.027,0.016,-0.988
70,0.020,0.012,-0.992
71,0.035,0.016,-0.988
72,0.039,0.012,-0.980
73,0.043,0.023,-0.973
74,0.027,0.023,-0.992
75,0.016,0.020,-0.984
76,0.012,0.016,-0.980
77,0.004,0.016,-0.984
78,0.012,0.020,-0.980
79,-0.004,0.012,-0.996
80,0.016,-0.047,-0.984
81,0.000,0.016,-0.988
82,0.012,0.023,-0.988
83,0.016,0.012,-0.992
84,0.023,0.016,-0.980
85,0.023,0.020,-0.988
86,0.035,0.020,-0.980
87,0.031,0.016,-0.984
88,0.039,0.008,-0.977
89,0.027,0.023,-0.980
90,0.023,0.020,-0.980
91,0.016,0.020,-0.988
92,0.004,0.020,-0.984
93,0.000,0.035,-0.992
94,0.031,0.023,-1.008
95,0.109,-0.004,-1.012
96,0.129,0.078,-0.953
97,0.043,0.215,-0.910
98,-0.016,0.258,-0.961
99,-0.051,0.305,-1.051
100,0.066,0.375,-1.203
101,0.336,0.926,-0.730
102,0.457,1.844,0.035
103,0.422,1.168,-0.641
104,-0.184,-0.129,-1.496
105,-1.188,-0.859,-1.918
106,-1.434,0.301,-1.434
107,-0.793,1.488,-0.305
108,0.156,1.641,-0.281
109,0.781,0.617,-0.863
110,0.203,-0.789,-1.609
111,-0.773,-0.957,-1.711
112,-0.484,0.574,-0.961
113,0.605,1.148,-0.305
114,1.227,0.992,-0.199
115,0.953,0.355,-0.777
116,0.414,-0.633,-1.906
117,1.223,0.016,-1.180
118,1.684,1.691,0.812
119,1.352,1.125,0.344
120,-0.215,-0.461,-1.234
121,-1.895,-1.141,-1.992
122,-1.805,-0.270,-1.801
123,-0.262,1.262,0.129
124,1.105,1.879,0.914
125,1.160,0.750,-0.238
126,-0.141,-1.328,-1.535
127,-1.984,-1.391,-1.973
128,-1.578,0.781,-0.848
129,0.336,1.137,-0.223
130,0.977,1.461,0.227
131,-0.070,0.398,-0.855
132,-0.555,-1.328,-1.836
133,-1.527,-0.656,-1.719
134,-0.676,1.109,-0.648
135,1.637,1.344,0.242
136,1.820,0.391,-0.598
137,0.621,-0.141,-1.285
138,-0.023,-0.562,-1.711
139,-0.453,0.992,-0.672
140,0.098,1.406,-0.055
141,1.188,0.570,-0.516
142,1.004,-0.312,-1.531
143,0.098,-0.297,-1.500
144,-0.617,0.867,-0.883
145,-0.801,1.074,-0.488
146,0.062,0.434,-0.754
147,0.809,-0.504,-1.488
148,-0.211,-0.141,-1.453
149,-1.008,1.121,-0.633
150,-0.910,1.215,-0.832
151,-0.480,0.184,-1.289
152,0.609,-0.699,-1.328
153,0.359,-0.094,-0.883
154,-0.145,0.430,-0.840
155,-0.438,0.957,-0.770
156,-0.402,0.676,-0.969
157,-0.176,-0.199,-1.180
158,0.531,-0.648,-1.238
159,0.422,0.422,-0.520
160,-0.043,0.887,-0.547
161,0.000,0.691,-0.828
162,0.188,0.105,-1.168
163,0.652,-0.387,-1.344
164,0.449,0.172,-0.793
165,-0.242,0.680,-0.734
166,-0.391,0.668,-0.969
167,-0.074,0.387,-1.184
168,0.266,-0.152,-1.508
169,0.363,0.023,-1.121
170,0.070,0.531,-0.789
171,-0.105,0.812,-0.715
172,-0.051,0.359,-1.180
173,0.016,0.039,-1.402
174,0.016,0.414,-0.941
175,0.004,0.574,-0.723
176,-0.113,0.531,-0.781
177,-0.051,0.398,-0.832
178,-0.059,0.051,-1.129
179,-0.059,0.051,-1.129
180,-0.062,0.219,-0.992
181,0.055,0.590,-0.676
182,0.020,0.449,-0.801
183,-0.094,0.211,-0.988
184,-0.023,-0.027,-1.156
185,0.012,0.000,-1.098
186,0.086,0.117,-1.012
187,0.180,0.168,-0.836
188,0.102,-0.004,-0.977
189,0.020,-0.258,-1.199
190,-0.117,-0.328,-1.172
191,-0.336,0.039,-0.961
192,-0.211,-0.289,-1.168
193,0.141,-0.199,-0.902
194,0.109,-0.230,-0.973
195,0.246,-0.391,-0.984
196,0.223,-0.223,-0.832
197,0.094,0.070,-0.730
198,0.227,-0.273,-1.016
199,0.211,-0.039,-0.758
200,0.012,-0.129,-1.000
201,0.113,-0.102,-0.965
202,-0.055,0.094,-0.844
203,-0.121,0.066,-0.949
204,0.102,0.043,-0.906
205,-0.043,-0.055,-1.113
206,-0.246,0.234,-1.094
207,-0.297,0.230,-1.059
208,-0.258,0.148,-1.215
209,-0.094,0.043,-1.176
210,0.078,0.004,-1.152
211,0.074,0.109,-1.062
212,0.043,0.227,-0.988
213,0.031,0.023,-1.199
214,-0.031,0.051,-1.043
215,0.105,-0.051,-1.000
216,0.145,-0.055,-0.922
217,0.066,0.121,-0.703
218,0.125,0.191,-0.715
219,0.156,-0.047,-0.852
220,0.250,-0.195,-0.898
221,0.242,-0.098,-0.855
222,0.133,0.098,-0.688
223,0.062,0.051,-0.832
224,-0.023,-0.133,-1.070
225,0.027,-0.086,-1.023
226,0.102,-0.250,-1.184
227,0.055,0.082,-0.895
228,0.012,0.277,-0.805
229,0.047,-0.293,-1.387
230,-0.176,-0.199,-1.312
231,-0.301,0.152,-1.047
232,-0.094,0.016,-1.199
233,-0.082,0.188,-0.891
234,-0.160,0.078,-1.039
235,-0.098,-0.098,-1.125
236,-0.016,-0.105,-0.980
237,0.078,-0.004,-1.016
238,0.160,0.262,-0.602
239,0.113,0.141,-0.730
240,0.102,0.004,-0.949
241,0.027,-0.059,-0.945
