Sample,X,Y,Z
0,-0.109,0.012,-1.008
1,0.012,0.012,-0.988
2,0.004,0.023,-0.980
3,0.000,0.020,-0.984
4,-0.004,0.016,-0.984
5,0.004,0.012,-0.988
6,0.008,0.023,-0.984
7,0.012,0.020,-0.988
8,0.027,0.023,-0.980
9,0.023,0.023,-0.988
10,0.020,0.016,-0.996
11,0.031,0.020,-0.988
12,0.031,0.020,-0.984
13,0.023,0.020,-0.980
14,0.020,0.023,-0.980
15,0.023,0.020,-0.984
16,0.016,0.023,-0.984
17,0.016,0.020,-0.980
18,0.008,0.016,-0.984
19,0.000,0.020,-0.988
20,-0.008,-0.008,-0.977
21,0.008,0.016,-0.980
22,0.012,0.020,-0.992
23,0.020,0.020,-0.992
24,0.016,0.016,-0.980
25,0.020,0.020,-0.992
26,0.035,0.016,-0.984
27,0.035,0.016,-0.992
28,0.039,0.016,-0.992
29,0.027,0.023,-0.980
30,0.027,0.020,-0.992
31,0.023,0.020,-0.992
32,0.023,0.016,-0.980
33,0.008,0.023,-0.984
34,0.008,0.027,-0.973
35,0.004,0.016,-0.980
36,-0.004,0.023,-0.980
37,-0.004,0.027,-0.992
38,0.016,0.004,-0.992
39,0.012,0.020,-0.988
40,0.023,0.043,-0.977
41,0.027,0.023,-0.984
42,0.031,0.020,-0.992
43,0.031,0.016,-0.988
44,0.031,0.023,-0.977
45,0.031,0.016,-0.988
46,0.027,0.023,-0.988
47,0.020,0.023,-0.980
48,0.012,0.020,-0.977
49,0.012,0.020,-0.988
50,0.016,0.012,-0.980
51,0.004,0.020,-0.980
52,0.008,0.012,-0.988
53,0.004,0.020,-0.984
54,0.004,0.023,-0.980
55,0.012,0.023,-0.988
56,0.016,0.020,-0.980
57,0.027,0.023,-0.980
58,0.031,0.016,-0.992
59,0.023,0.012,-0.992
60,0.031,0.008,-0.984
61,0.039,0.020,-0.980
62,0.035,0.020,-0.980
63,0.027,0.016,-0.988
64,0.012,0.027,-0.984
65,0.012,0.016,-0.984
66,0.016,0.023,-0.988
67,0.008,0.020,-0.984
68,0.008,0.016,-0.984
69,0.000,0.012,-0.992
70,0.004,0.023,-0.977
71,0.008,0.016,-0.988
72,0.020,0.020,-0.984
73,0.027,0.020,-0.992
74,0.027,0.020,-0.984
75,0.027,0.012,-0.992
76,0.031,0.012,-0.988
77,0.031,0.020,-0.992
78,0.031,0.008,-0.988
79,0.023,0.027,-0.988
80,0.027,0.020,-0.996
81,0.012,0.020,-0.984
82,0.012,0.027,-0.977
83,0.008,0.016,-0.984
84,0.004,0.023,-0.980
85,0.000,0.016,-0.988
86,0.012,0.020,-0.984
87,0.008,0.020,-0.980
88,0.016,0.016,-0.992
89,0.020,0.016,-0.996
90,0.023,0.016,-0.988
91,0.031,0.023,-0.980
92,0.023,0.023,-0.988
93,0.023,0.020,-0.984
94,0.031,0.020,-0.988
95,0.039,0.020,-0.984
96,0.027,0.023,-0.980
97,0.012,0.027,-0.977
98,-0.004,0.039,-0.988
99,0.031,0.023,-0.996
100,0.133,-0.016,-0.984
101,0.102,-0.020,-0.961
102,-0.016,0.027,-0.945
103,-0.145,0.035,-1.000
104,-0.160,0.031,-1.016
105,-0.078,0.039,-0.957
106,-0.047,0.004,-0.938
107,-0.152,-0.004,-0.973
108,-0.234,0.031,-0.992
109,-0.242,0.008,-0.996
110,-0.238,-0.004,-0.996
111,-0.258,-0.016,-1.039
112,-0.230,0.043,-1.004
113,-0.109,0.090,-0.941
114,-0.004,0.016,-0.949
115,-0.008,-0.070,-1.020
116,-0.016,-0.148,-1.055
117,0.020,-0.371,-1.012
118,-0.766,-0.230,-0.848
119,-1.484,-0.402,-1.422
120,-1.293,0.051,-1.359
121,0.086,0.848,-0.730
122,1.562,0.973,0.066
123,1.559,0.375,-0.242
124,-0.324,-1.332,-1.426
125,-1.188,-0.062,-1.293
126,-0.527,1.043,-0.551
127,0.516,0.469,-0.828
128,0.840,-0.633,-1.184
129,-1.012,-0.211,-1.363
130,-1.992,1.492,-0.059
131,-1.992,1.133,-0.719
132,-0.719,-0.191,-1.766
133,1.492,-1.160,-1.023
134,0.191,-1.211,-0.969
135,-1.910,-0.105,-1.203
136,-1.992,0.184,-1.559
137,-0.336,0.172,-1.465
138,1.926,-0.328,-0.445
139,1.906,-0.211,0.441
140,-0.551,-0.922,-0.668
141,-1.914,-0.418,-1.188
142,-1.160,0.867,-1.051
143,1.484,0.445,-0.602
144,1.992,0.289,0.859
145,1.160,-0.465,-0.621
146,-1.723,-0.465,-1.941
147,-1.535,0.230,-1.270
148,-0.605,1.020,-0.777
149,1.707,0.797,-0.336
150,1.723,0.020,-0.555
151,-1.000,-0.254,-1.867
152,-1.992,0.441,-1.676
153,-1.918,-0.215,-1.676
154,-0.055,-0.316,-1.254
155,0.758,0.047,-0.727
156,-0.168,0.203,-0.523
157,-1.559,0.297,-1.004
158,-1.746,-0.250,-1.469
159,-1.262,-0.438,-1.355
160,-0.074,0.316,-0.238
161,0.473,0.453,0.070
162,0.484,0.277,-0.070
163,-0.133,-0.285,-0.934
164,-0.070,-0.906,-1.355
165,0.523,-0.523,-1.102
166,0.715,0.293,-0.391
167,0.406,0.531,-0.223
168,0.195,0.164,-0.898
169,-0.254,-0.527,-1.746
170,-0.406,-0.488,-1.676
171,-0.180,0.336,-1.168
172,0.105,0.633,-0.656
173,0.266,0.031,-1.125
174,-0.379,-0.191,-1.508
