Sample,X,Y,Z
0,0.062,0.012,-0.988
1,0.008,0.008,-0.984
2,0.012,0.020,-0.988
3,0.008,0.020,-0.984
4,0.008,0.020,-0.992
5,0.020,0.016,-0.996
6,0.031,0.012,-0.977
7,0.039,0.012,-0.980
8,0.035,0.016,-0.992
9,0.023,0.020,-0.984
10,0.027,0.012,-0.988
11,0.027,0.012,-0.980
12,0.027,0.016,-0.977
13,0.012,0.012,-0.984
14,0.008,0.016,-0.984
15,0.004,0.016,-0.984
16,0.012,0.016,-0.984
17,0.008,0.020,-0.988
18,-0.004,0.016,-0.988
19,0.004,0.012,-0.988
20,0.012,0.047,-0.988
21,0.020,0.020,-0.980
22,0.031,0.020,-0.988
23,0.023,0.023,-0.984
24,0.023,0.012,-0.984
25,0.031,0.012,-0.980
26,0.031,0.016,-0.984
27,0.035,0.012,-0.980
28,0.020,0.016,-0.980
29,0.016,0.020,-0.988
30,0.012,0.023,-0.988
31,0.008,0.008,-0.984
32,0.000,0.020,-0.988
33,0.004,0.012,-0.984
34,0.004,0.012,-0.977
35,0.004,0.016,-0.984
36,0.016,0.012,-0.988
37,0.020,0.020,-0.980
38,0.035,0.020,-0.980
39,0.031,0.012,-0.992
40,0.039,0.008,-0.977
41,0.023,0.020,-0.988
42,0.027,0.016,-0.984
43,0.031,0.016,-0.984
44,0.031,0.016,-0.984
45,0.012,0.016,-0.984
46,0.004,0.016,-0.992
47,0.008,0.020,-0.984
48,0.012,0.012,-0.984
49,0.012,0.020,-0.984
50,0.000,0.012,-0.992
51,0.000,0.012,-0.988
52,0.012,0.023,-0.984
53,0.023,0.008,-0.980
54,0.023,0.016,-0.977
55,0.027,0.016,-0.984
56,0.027,0.027,-0.984
57,0.023,0.020,-0.977
58,0.031,0.016,-0.977
59,0.039,0.012,-0.980
60,0.031,0.047,-0.977
61,0.016,0.020,-0.988
62,0.012,0.020,-0.988
63,0.008,0.023,-0.984
64,0.012,0.020,-0.977
65,0.004,0.020,-0.988
66,0.004,0.008,-0.996
67,0.008,0.027,-0.988
68,0.004,0.012,-0.988
69,0.016,0.016,-0.988
70,0.020,0.016,-0.992
71,0.023,0.023,-0.984
72,0.027,0.012,-0.992
73,0.031,0.023,-0.977
74,0.027,0.008,-0.984
75,0.023,0.020,-0.977
