Sample,X,Y,Z
0,-0.031,-0.094,-1.281
1,0.031,0.012,-0.984
2,0.020,0.020,-0.977
3,0.023,0.023,-0.977
4,0.027,0.016,-0.992
5,0.012,0.020,-0.984
6,0.020,0.023,-0.984
7,0.023,0.016,-0.988
8,0.035,0.016,-0.980
9,0.023,0.016,-0.984
10,0.016,0.012,-0.984
11,0.023,0.012,-0.992
12,0.020,0.023,-0.980
13,0.016,0.031,-0.980
14,0.012,0.012,-0.992
15,0.008,0.023,-0.988
16,0.008,0.016,-0.992
17,0.016,0.012,-0.992
18,0.027,0.023,-0.988
19,0.020,0.012,-0.980
20,0.043,0.051,-0.980
21,0.012,0.023,-0.992
22,0.023,0.020,-0.988
23,0.020,0.020,-0.984
24,0.020,0.020,-0.988
25,0.016,0.012,-0.988
26,0.016,0.027,-0.984
27,0.012,0.008,-0.992
28,0.020,0.008,-0.988
29,0.012,0.016,-0.984
30,0.016,0.016,-0.988
31,0.016,0.012,-0.984
32,0.012,0.016,-0.984
33,0.008,0.023,-0.984
34,0.020,0.012,-0.988
35,0.023,0.020,-0.988
36,0.020,0.020,-0.988
37,0.031,0.023,-0.984
38,0.023,0.020,-0.992
39,0.020,0.023,-0.984
40,0.004,0.062,-0.977
41,0.020,0.016,-0.996
42,0.016,0.020,-0.988
43,0.008,0.004,-0.988
44,0.016,0.016,-0.992
45,0.016,0.016,-0.984
46,0.004,0.016,-0.984
47,0.012,0.008,-0.992
48,0.020,0.016,-0.988
49,0.016,0.023,-0.984
50,0.020,0.016,-0.980
51,0.020,0.008,-0.996
52,0.020,0.023,-0.988
53,0.027,0.020,-0.988
54,0.027,0.020,-0.988
55,0.027,0.020,-0.980
56,0.020,0.020,-0.988
57,0.023,0.016,-0.988
58,0.020,0.020,-0.988
59,0.023,0.020,-0.988
60,0.020,-0.004,-0.992
61,0.020,0.020,-0.980
62,0.016,0.012,-0.984
63,0.012,0.020,-0.988
64,0.016,0.027,-0.988
65,0.016,0.020,-0.980
66,0.016,0.016,-0.988
67,0.020,0.023,-0.992
68,0.023,0.020,-0.984
69,0.016,0.016,-0.984
70,0.020,0.023,-0.984
71,0.020,0.016,-0.988
72,0.027,0.012,-0.988
73,0.023,0.027,-0.980
74,0.020,0.016,-0.977
75,0.016,0.016,-0.988
76,0.012,0.016,-0.988
77,0.016,0.023,-0.984
78,0.016,0.020,-0.988
79,0.016,0.012,-0.984
80,0.020,0.066,-0.980
81,0.012,0.023,-0.984
82,0.016,0.016,-0.988
83,0.023,0.020,-0.980
84,0.023,0.016,-0.988
85,0.023,0.023,-0.980
86,0.020,0.027,-0.977
87,0.023,0.027,-0.988
