Sample,X,Y,Z
0,0.203,-0.113,-1.273
1,0.047,0.016,-0.984
2,0.027,0.020,-0.984
3,0.016,0.016,-0.988
4,0.023,0.020,-0.980
5,0.016,0.016,-0.973
6,0.004,0.012,-0.992
7,0.000,0.016,-0.988
8,0.008,0.020,-0.988
9,0.008,0.012,-0.984
10,0.020,0.012,-0.984
11,0.016,0.016,-0.984
12,0.020,0.012,-0.992
13,0.020,0.008,-0.992
14,0.031,0.023,-0.988
15,0.035,0.008,-0.984
16,0.031,0.016,-0.992
17,0.027,0.016,-0.984
18,0.016,0.012,-0.980
19,0.016,0.020,-0.984
20,-0.004,0.051,-0.977
21,0.000,0.020,-0.973
22,0.008,0.016,-0.984
23,0.000,0.020,-0.988
24,0.000,0.012,-0.992
25,0.008,0.020,-0.977
26,0.012,0.020,-0.984
27,0.012,0.020,-0.988
28,0.016,0.008,-0.992
29,0.023,0.016,-0.984
30,0.027,0.016,-0.984
31,0.027,0.023,-0.980
32,0.031,0.020,-0.977
33,0.023,0.012,-0.984
34,0.023,0.023,-0.980
35,0.020,0.016,-0.984
36,0.016,0.023,-0.977
37,0.008,0.020,-0.980
38,0.008,0.012,-0.992
39,0.012,0.008,-0.984
40,0.012,0.035,-0.957
41,0.004,0.023,-0.988
42,0.012,0.023,-0.988
43,0.008,0.016,-0.992
44,0.016,0.016,-0.984
45,0.031,0.016,-0.977
46,0.027,0.020,-0.984
47,0.023,0.020,-0.984
48,0.031,0.004,-0.988
49,0.027,0.020,-0.973
50,0.027,0.020,-0.977
51,0.016,0.016,-0.988
52,0.020,0.012,-0.980
53,0.016,0.016,-0.984
54,0.008,0.020,-0.980
55,0.008,0.023,-0.988
56,0.008,0.016,-0.988
57,0.000,0.016,-0.980
58,0.000,0.020,-0.996
59,0.004,0.020,-0.992
60,0.008,0.059,-0.984
61,0.031,0.023,-0.980
62,0.027,0.012,-0.992
63,0.031,0.023,-0.984
64,0.027,0.023,-0.988
65,0.027,0.023,-0.980
66,0.023,0.023,-0.988
67,0.031,0.027,-0.977
68,0.016,0.023,-0.984
69,0.012,0.020,-0.984
70,0.004,0.008,-0.984
71,0.008,0.023,-0.984
72,0.008,0.023,-0.988
73,0.000,0.027,-0.984
74,0.008,0.023,-0.988
75,0.012,0.016,-0.984
76,0.012,0.023,-0.984
77,0.027,0.012,-0.992
78,0.031,0.008,-0.992
79,0.027,0.020,-0.988
80,0.059,-0.012,-0.988
81,0.027,0.020,-0.984
82,0.035,0.027,-0.977
83,0.031,0.016,-0.977
84,0.027,0.023,-0.984
85,0.020,0.012,-0.984
86,0.008,0.020,-0.988
87,0.012,0.027,-0.980
88,0.004,0.016,-0.988
89,0.000,0.016,-0.996
90,0.008,0.012,-0.996
91,0.012,0.012,-0.992
92,0.008,0.023,-0.992
93,0.016,0.016,-0.988
94,0.027,0.020,-0.984
95,0.027,0.012,-0.980
96,0.012,0.027,-0.992
97,0.051,0.023,-1.000
98,0.113,0.012,-0.980
99,0.105,0.023,-0.973
100,0.043,0.074,-0.965
101,-0.051,0.090,-0.992
102,-0.043,0.121,-0.996
103,0.023,0.129,-0.980
104,0.039,0.172,-0.949
105,0.020,0.242,-0.945
106,0.016,0.281,-0.969
107,0.047,0.277,-0.980
108,0.086,0.293,-0.992
109,0.090,0.387,-0.984
110,0.117,0.449,-1.121
111,0.141,0.805,-0.910
112,0.039,1.703,-0.137
113,0.324,1.055,-0.629
114,0.086,-0.617,-1.523
115,-0.590,-1.801,-1.992
116,-0.895,-0.020,-1.184
117,-0.062,1.691,0.242
118,0.773,1.691,0.258
119,0.898,-0.152,-1.176
120,-0.961,-1.543,-1.848
121,-1.992,0.391,-1.312
122,-1.547,1.992,-0.305
123,1.375,1.660,0.496
124,1.992,-0.020,-0.938
125,0.859,-1.473,-1.090
126,-0.109,-0.789,-1.227
127,1.254,1.980,0.594
128,1.664,1.812,0.531
129,0.875,0.418,-0.102
130,-0.473,-1.980,-1.855
131,-1.559,-1.582,-1.766
132,-1.879,1.125,-0.996
133,-0.812,1.887,1.402
134,1.668,1.402,0.316
135,1.926,-1.051,-0.520
136,-0.539,-1.992,-1.520
137,-1.969,-0.645,-0.871
138,-1.406,1.992,0.805
139,0.438,1.992,0.805
140,1.414,1.059,0.676
