Sample,X,Y,Z
0,-0.203,-0.020,-0.977
1,0.047,0.016,-0.984
2,0.035,0.020,-0.980
3,0.031,0.023,-0.980
4,0.035,0.027,-0.980
5,0.031,0.012,-0.984
6,0.023,0.020,-0.988
7,0.008,0.020,-0.977
8,0.012,0.016,-0.984
9,0.012,0.023,-0.980
10,0.008,0.023,-0.984
11,0.004,0.012,-0.988
12,0.004,0.012,-0.996
13,0.004,0.012,-0.992
14,0.016,0.027,-0.984
15,0.012,0.020,-0.996
16,0.023,0.012,-0.992
17,0.027,0.020,-0.980
18,0.035,0.016,-0.992
19,0.027,0.023,-0.988
20,0.023,0.020,-0.969
21,0.031,0.023,-0.980
22,0.020,0.020,-0.988
23,0.016,0.016,-0.980
24,0.008,0.027,-0.984
25,0.004,0.016,-0.984
26,0.008,0.020,-0.980
27,0.004,0.020,-0.984
28,0.008,0.012,-0.984
29,0.004,0.020,-0.984
30,0.008,0.023,-0.984
31,0.020,0.012,-0.996
32,0.016,0.016,-0.984
33,0.023,0.016,-0.988
34,0.023,0.023,-0.984
35,0.031,0.016,-0.988
36,0.031,0.008,-0.984
37,0.031,0.016,-0.984
38,0.027,0.016,-0.980
39,0.023,0.016,-0.980
40,0.020,0.031,-0.973
41,0.012,0.020,-0.977
42,0.004,0.016,-0.980
43,0.008,0.012,-0.988
44,0.008,0.012,-0.988
45,0.004,0.016,-0.984
46,0.012,0.020,-0.988
47,0.012,0.016,-0.992
48,0.023,0.023,-0.980
49,0.031,0.020,-0.984
50,0.035,0.008,-0.988
51,0.031,0.016,-0.984
52,0.031,0.016,-0.988
53,0.031,0.016,-0.980
54,0.035,0.016,-0.980
55,0.023,0.016,-0.988
56,0.016,0.023,-0.980
57,0.012,0.020,-0.980
58,0.004,0.027,-0.980
59,0.004,0.020,-0.980
60,0.004,0.027,-0.977
61,0.012,0.023,-0.980
62,0.004,0.016,-0.988
63,0.012,0.020,-0.977
64,0.016,0.016,-0.984
65,0.027,0.020,-0.988
66,0.020,0.008,-0.992
67,0.031,0.012,-0.988
68,0.035,0.020,-0.984
69,0.035,0.016,-0.980
70,0.023,0.016,-0.988
71,0.023,0.020,-0.980
72,0.020,0.016,-0.980
73,0.008,0.020,-0.980
74,0.004,0.020,-0.988
75,0.004,0.016,-0.984
76,0.004,0.020,-0.984
77,0.000,0.012,-0.988
78,0.016,0.020,-0.980
79,0.016,0.020,-0.988
80,0.004,0.055,-0.988
81,0.023,0.012,-0.996
82,0.027,0.016,-0.984
83,0.027,0.016,-0.980
84,0.031,0.020,-0.977
85,0.023,0.023,-0.977
86,0.035,0.016,-0.980
87,0.027,0.020,-0.980
88,0.023,0.016,-0.984
89,0.012,0.016,-0.988
90,0.008,0.027,-0.980
91,0.008,0.020,-0.984
92,0.004,0.012,-0.988
93,0.000,0.016,-0.988
94,0.004,0.020,-0.992
95,0.008,0.023,-0.992
96,0.012,0.023,-0.988
97,0.047,0.016,-0.992
98,0.109,0.008,-0.992
99,0.113,0.004,-0.988
100,0.055,0.055,-0.957
101,-0.020,0.109,-0.980
102,0.004,0.113,-0.988
103,0.051,0.098,-0.984
104,0.078,0.105,-0.965
105,0.074,0.145,-0.980
106,0.066,0.188,-0.969
107,0.078,0.207,-0.977
108,0.102,0.203,-1.000
109,0.129,0.262,-0.969
110,0.066,0.430,-0.922
111,0.027,0.395,-1.195
112,0.051,1.023,-0.625
113,0.383,1.434,-0.195
114,0.402,0.359,-0.922
115,-0.453,-1.066,-1.867
116,-1.270,-0.934,-1.918
117,-0.961,0.961,-0.598
118,0.074,1.637,0.098
119,0.828,1.199,-0.203
120,0.637,-0.590,-1.293
121,-0.715,-1.707,-1.961
122,-1.746,0.355,-1.113
123,-1.730,1.992,0.215
124,0.430,1.910,0.668
125,1.898,0.168,-1.012
126,1.590,-1.801,-1.559
127,-0.434,-0.648,-0.918
128,0.211,0.863,-0.012
129,1.934,1.992,1.238
130,1.992,1.902,0.484
131,0.504,-1.512,-1.621
132,-1.504,-1.980,-1.754
133,-1.992,-0.793,-1.926
134,-1.395,1.992,1.773
135,1.312,1.992,1.066
136,1.973,0.387,-0.484
137,0.801,-1.684,-1.332
138,-1.777,-1.992,-1.824
139,-1.574,0.672,-0.012
140,-0.977,1.980,0.488
141,1.195,1.914,1.566
142,0.875,-0.281,-0.816
143,-1.254,-1.992,-1.527
144,-1.570,-0.949,-1.105
145,-1.066,1.305,0.262
146,0.555,1.918,0.535
147,1.965,1.289,-0.250
148,1.402,-1.223,-1.570
149,-0.262,-1.574,-1.754
150,-0.918,1.152,-0.074
151,-0.297,1.945,-0.355
152,0.742,1.434,-0.488
153,1.711,0.109,-0.879
154,0.680,-1.137,-1.898
155,-0.254,0.449,-0.699
156,-0.914,1.324,-0.465
157,-0.598,0.551,-1.055
158,0.543,0.270,-0.516
159,0.922,-0.555,-1.293
160,-0.168,0.840,-0.152
161,-0.691,1.188,-0.238
162,-1.242,0.578,-1.320
163,-0.191,-0.617,-1.582
164,0.469,-0.531,-1.199
165,0.258,0.406,-0.469
166,0.062,1.070,-0.059
167,-0.676,0.395,-1.512
168,-0.996,-0.398,-1.832
169,-0.164,-0.793,-1.691
170,0.766,0.098,-0.828
171,0.543,1.262,0.129
172,-0.039,0.902,-0.734
173,-0.480,-0.125,-1.605
174,0.133,-0.625,-1.902
175,0.945,0.160,-0.672
176,0.750,0.953,0.031
177,0.102,1.008,-0.375
178,-0.574,0.461,-1.262
179,-0.461,-0.273,-1.762
180,0.020,0.137,-1.070
181,0.562,0.641,-0.430
