Sample,X,Y,Z
0,0.008,-0.031,-1.172
1,0.023,0.023,-0.980
2,0.020,0.016,-0.984
3,0.016,0.023,-0.980
4,0.023,0.012,-0.988
5,0.012,0.016,-0.988
6,0.008,0.023,-0.984
7,0.016,0.023,-0.984
8,0.008,0.012,-0.992
9,0.016,0.016,-0.992
10,0.016,0.023,-0.984
11,0.012,0.016,-0.988
12,0.023,0.020,-0.996
13,0.023,0.012,-0.984
14,0.027,0.020,-0.988
15,0.035,0.020,-0.980
16,0.023,0.016,-0.980
17,0.012,0.027,-0.984
18,0.020,0.016,-0.988
19,0.020,0.020,-0.992
20,0.031,0.012,-0.984
21,0.016,0.012,-0.996
22,0.016,0.012,-0.988
23,0.012,0.016,-0.984
24,0.008,0.020,-0.992
25,0.012,0.020,-0.988
26,0.012,0.012,-0.988
27,0.016,0.027,-0.980
28,0.016,0.027,-0.984
29,0.016,0.020,-0.977
30,0.023,0.023,-0.984
31,0.023,0.016,-0.988
32,0.027,0.016,-0.984
33,0.027,0.020,-0.980
34,0.020,0.031,-0.984
35,0.016,0.016,-0.984
36,0.016,0.016,-0.988
37,0.016,0.027,-0.984
38,0.016,0.016,-0.988
39,0.016,0.012,-0.992
40,0.027,0.051,-0.961
41,0.012,0.020,-0.980
42,0.012,0.020,-0.988
43,0.012,0.016,-0.988
44,0.016,0.031,-0.984
45,0.023,0.012,-0.984
46,0.020,0.023,-0.984
47,0.016,0.023,-0.977
48,0.023,0.027,-0.980
49,0.027,0.012,-0.992
50,0.023,0.023,-0.980
51,0.020,0.020,-0.980
52,0.012,0.008,-0.992
53,0.008,0.016,-0.992
54,0.012,0.020,-0.984
55,0.020,0.020,-0.988
56,0.016,0.016,-0.984
57,0.004,0.016,-0.980
58,0.016,0.016,-0.984
59,0.020,0.008,-0.992
60,0.016,0.031,-0.977
61,0.016,0.016,-0.992
62,0.023,0.020,-0.988
63,0.020,0.020,-0.980
64,0.020,0.020,-0.988
65,0.023,0.016,-0.984
66,0.023,0.016,-0.992
67,0.023,0.016,-0.973
68,0.020,0.016,-0.980
69,0.020,0.016,-0.992
70,0.012,0.016,-0.980
71,0.008,0.012,-0.984
72,0.012,0.016,-0.988
73,0.016,0.016,-0.984
74,0.012,0.012,-0.984
75,0.020,0.016,-0.992
76,0.016,0.020,-0.988
77,0.016,0.012,-0.984
78,0.020,0.016,-0.992
79,0.023,0.020,-0.988
80,-0.004,0.062,-0.969
81,0.020,0.023,-0.984
82,0.016,0.020,-0.988
83,0.020,0.023,-0.988
84,0.012,0.020,-0.988
85,0.016,0.023,-0.984
86,0.016,0.020,-0.980
87,0.012,0.023,-0.984
88,0.016,0.016,-0.984
89,0.012,0.020,-0.984
90,0.012,0.027,-0.980
91,0.012,0.016,-0.984
92,0.016,0.020,-0.980
93,0.016,0.008,-0.992
94,0.016,0.027,-0.984
95,0.012,0.031,-0.988
96,0.109,-0.008,-1.000
97,0.148,-0.043,-0.969
98,-0.012,0.004,-0.934
99,-0.203,0.012,-1.016
100,-0.270,0.094,-0.984
101,-0.180,0.078,-0.941
102,-0.117,0.031,-0.910
103,-0.195,-0.031,-0.965
104,-0.371,0.000,-1.020
105,-0.383,0.012,-1.035
106,-0.203,-0.012,-1.023
107,-0.039,-0.008,-0.953
108,0.219,-0.312,-0.969
109,-0.426,-0.375,-0.938
110,-1.887,0.262,-0.859
111,-1.941,0.051,-1.562
112,-0.418,0.172,-1.324
113,1.527,0.402,-0.488
114,1.844,0.582,0.199
115,0.316,-0.098,-1.062
116,-0.008,-0.938,-1.828
117,0.625,-0.059,-1.059
118,0.641,0.152,-0.461
119,0.109,-0.441,-1.258
120,-1.684,0.828,-0.539
121,-1.992,1.938,-0.211
122,-1.957,0.941,-1.191
123,0.043,-0.625,-1.672
124,1.961,-0.980,-0.406
125,0.898,-1.223,-0.816
126,-1.754,0.230,-0.926
127,-1.992,0.676,-0.910
128,-1.426,-0.898,-1.828
129,0.746,0.172,-0.242
130,1.352,0.227,0.109
131,0.516,0.145,0.457
132,-1.488,-1.176,-1.934
133,-0.711,-1.023,-1.875
134,1.875,0.730,0.059
135,1.992,0.211,0.316
136,1.059,0.461,-0.016
137,-1.703,-0.148,-1.191
138,-1.992,0.086,-1.695
139,-0.781,1.090,-0.492
140,1.777,0.465,-0.469
141,1.992,0.254,0.332
142,0.266,-0.559,-1.008
143,-1.992,-0.031,-1.836
144,-1.992,0.734,-1.660
145,-1.070,-0.590,-1.863
146,0.863,0.078,-0.086
147,0.191,0.480,0.230
148,-1.586,0.195,-1.273
149,-1.664,0.391,-1.262
150,-1.457,-0.719,-1.699
151,-0.547,-0.598,-1.180
152,0.406,-0.020,-0.449
153,0.828,0.520,0.348
154,-0.117,0.770,-0.105
155,-0.727,-0.582,-1.348
156,-0.410,-0.988,-1.680
157,0.293,-0.258,-1.105
158,0.746,0.504,-0.082
159,0.859,0.480,0.062
160,0.590,-0.207,-1.012
161,0.160,-0.707,-1.473
162,-0.133,-0.176,-1.574
163,-0.707,0.707,-0.949
164,-0.305,0.262,-0.949
165,-0.148,-0.074,-1.285
166,-0.531,0.082,-1.168
167,-0.535,0.043,-1.348
168,-0.574,-0.148,-1.461
169,-0.934,-0.035,-1.219
170,-0.934,0.324,-0.926
171,-0.547,0.215,-0.926
172,-0.496,0.078,-1.039
173,-0.320,0.000,-0.883
174,-0.227,0.102,-0.570
175,-0.297,-0.109,-0.766
176,-0.445,-0.004,-0.730
177,-0.496,0.219,-0.680
178,-0.062,-0.305,-1.047
179,0.289,-0.473,-0.988
180,0.109,-0.129,-0.609
181,-0.316,0.199,-0.695
182,-0.348,0.043,-1.039
183,-0.344,0.191,-1.039
184,-0.117,-0.016,-1.191
185,0.223,-0.305,-1.246
186,0.090,0.086,-0.961
187,-0.223,0.387,-0.988
188,-0.152,0.188,-1.250
189,0.121,0.059,-1.234
190,0.016,-0.062,-1.199
191,-0.141,-0.141,-1.137
192,-0.262,0.117,-0.973
193,-0.348,0.395,-0.766
194,-0.152,0.164,-0.895
195,0.098,-0.164,-1.031
196,-0.102,-0.176,-1.012
197,-0.414,0.031,-0.855
198,-0.441,0.133,-0.820
199,-0.266,0.250,-0.711
200,0.215,-0.035,-0.910
201,0.398,-0.379,-1.039
202,0.004,-0.203,-0.965
203,-0.055,-0.090,-1.098
204,0.223,0.074,-0.906
205,0.137,0.148,-0.824
206,0.168,-0.141,-1.160
207,-0.020,-0.125,-1.137
208,-0.219,-0.008,-1.172
209,0.074,0.090,-1.027
210,0.188,0.246,-0.734
