Sample,X,Y,Z
0,0.023,0.023,-1.109
1,0.031,0.020,-0.984
2,0.023,0.020,-0.977
3,0.012,0.023,-0.980
4,0.000,0.020,-0.992
5,0.008,0.020,-0.988
6,0.016,0.012,-0.984
7,0.012,0.023,-0.988
8,0.012,0.016,-0.980
9,0.000,0.020,-0.984
10,0.012,0.016,-0.988
11,0.027,0.020,-0.984
12,0.016,0.016,-0.988
13,0.012,0.027,-0.984
14,0.016,0.023,-0.988
15,0.020,0.023,-0.984
16,0.035,0.012,-0.988
17,0.020,0.020,-0.984
18,0.012,0.020,-0.988
19,0.012,0.008,-0.988
20,0.008,0.047,-0.992
21,0.020,0.020,-0.984
22,0.004,0.020,-0.988
23,0.004,0.023,-0.992
24,0.008,0.012,-0.992
25,0.023,0.020,-0.988
26,0.023,0.012,-0.980
27,0.012,0.020,-0.980
28,0.012,0.020,-0.988
29,0.016,0.020,-0.988
30,0.023,0.016,-0.992
31,0.031,0.016,-0.984
32,0.027,0.023,-0.980
33,0.016,0.020,-0.980
34,0.020,0.016,-0.988
35,0.020,0.023,-0.977
36,0.023,0.023,-0.988
37,0.004,0.012,-0.996
38,0.012,0.023,-0.988
39,0.020,0.016,-0.992
40,0.031,-0.023,-0.977
41,0.016,0.012,-0.992
42,0.012,0.023,-0.984
43,0.012,0.016,-0.984
44,0.023,0.023,-0.988
45,0.020,0.016,-0.984
46,0.023,0.023,-0.984
47,0.016,0.020,-0.977
48,0.020,0.012,-0.988
49,0.023,0.020,-0.980
50,0.023,0.012,-0.992
51,0.020,0.020,-0.984
52,0.020,0.012,-0.984
53,0.016,0.016,-0.992
54,0.016,0.016,-0.996
55,0.016,0.016,-0.980
56,0.012,0.020,-0.988
57,0.020,0.023,-0.988
58,0.020,0.020,-0.988
59,0.012,0.016,-0.984
60,0.023,0.012,-0.988
61,0.016,0.027,-0.988
62,0.023,0.016,-0.984
63,0.027,0.020,-0.980
64,0.027,0.016,-0.984
65,0.020,0.020,-0.984
66,0.020,0.023,-0.988
67,0.020,0.016,-0.984
68,0.023,0.012,-0.996
69,0.016,0.008,-0.988
70,0.008,0.023,-0.980
71,0.012,0.016,-0.984
72,0.012,0.012,-0.992
73,0.012,0.016,-0.988
74,0.012,0.020,-0.992
75,0.020,0.027,-0.988
76,0.020,0.023,-0.984
77,0.020,0.020,-0.988
78,0.023,0.012,-0.984
79,0.023,0.023,-0.980
80,0.020,0.012,-0.992
81,0.023,0.016,-0.984
82,0.020,0.016,-0.992
83,0.023,0.016,-0.984
84,0.016,0.012,-0.984
85,0.012,0.020,-0.980
86,0.012,0.023,-0.984
87,0.016,0.016,-0.984
88,0.016,0.016,-0.988
89,0.012,0.020,-0.992
90,0.016,0.020,-0.984
91,0.016,0.020,-0.988
92,0.023,0.020,-0.992
93,0.023,0.020,-0.980
94,0.020,0.020,-0.980
95,0.023,0.020,-0.984
96,0.016,0.016,-0.992
97,0.012,0.020,-0.984
98,0.012,0.031,-0.996
99,0.031,0.023,-0.996
100,0.117,-0.023,-0.973
101,0.109,-0.023,-0.953
102,-0.062,0.020,-0.938
103,-0.195,0.043,-1.016
104,-0.199,0.039,-1.016
105,-0.062,0.027,-0.957
106,-0.035,-0.004,-0.918
107,-0.176,0.008,-0.953
108,-0.312,0.008,-1.016
109,-0.352,0.016,-1.004
110,-0.281,-0.027,-1.031
111,-0.188,-0.023,-1.023
112,-0.129,0.070,-0.941
113,-0.102,0.078,-0.914
114,0.051,-0.172,-1.004
115,0.156,-0.594,-1.129
116,-1.121,-0.008,-0.773
117,-1.992,0.238,-1.148
118,-1.441,-0.031,-1.590
119,0.570,0.445,-0.852
120,1.934,0.637,0.027
121,1.355,0.332,-0.242
122,-0.191,-1.145,-1.832
123,-0.062,-0.309,-1.395
124,0.152,0.523,-0.625
125,0.508,-0.168,-1.031
126,-0.434,0.059,-0.703
127,-1.824,1.355,-0.336
128,-1.992,1.492,-0.773
129,-1.465,0.215,-1.582
130,1.266,-0.773,-1.215
131,1.887,-1.691,-1.109
132,-0.832,-0.340,-0.773
133,-1.992,0.672,-0.973
134,-1.992,0.051,-1.852
135,0.293,-0.227,-0.859
136,1.941,0.105,-0.070
137,1.422,-0.219,0.027
138,-1.277,-1.188,-0.973
139,-1.824,-0.398,-1.516
140,0.613,0.707,-0.574
141,1.992,0.109,-0.191
142,1.887,0.199,0.660
143,-0.691,0.008,-0.980
144,-1.934,-0.258,-1.824
145,-1.473,0.844,-0.828
146,0.711,0.691,-1.070
147,1.992,0.367,0.062
148,1.539,-0.234,-0.344
149,-1.656,-0.383,-1.895
150,-1.992,0.566,-1.535
151,-1.562,0.031,-1.695
152,0.566,-0.848,-1.625
153,0.887,0.691,0.594
154,-0.848,-0.039,-1.109
155,-1.926,0.746,-0.926
156,-1.496,-0.352,-1.422
157,-0.660,-0.766,-1.625
158,0.004,0.094,-0.277
159,0.598,0.379,0.129
160,0.164,0.488,-0.246
161,-0.523,-0.055,-0.812
162,-0.285,-0.953,-1.512
163,0.473,-0.516,-1.223
164,0.379,0.383,-0.434
165,0.465,0.492,-0.324
166,0.477,0.109,-0.773
167,0.051,-0.527,-1.469
168,0.051,-0.531,-1.695
169,-0.379,0.500,-0.988
170,-0.383,0.496,-0.945
171,-0.047,-0.086,-1.219
172,-0.422,-0.078,-1.250
173,-0.684,0.043,-1.355
174,-0.609,0.023,-1.328
175,-0.789,-0.098,-1.234
176,-0.824,0.227,-0.887
177,-0.426,0.207,-0.742
178,-0.430,0.043,-0.941
179,-0.566,0.082,-0.922
180,-0.449,0.148,-0.676
181,-0.281,-0.031,-0.758
182,-0.184,-0.234,-0.805
183,-0.312,0.133,-0.605
184,-0.113,-0.133,-1.000
185,0.184,-0.355,-1.043
186,0.164,-0.133,-0.770
187,-0.176,0.207,-0.668
188,-0.289,0.059,-1.020
189,-0.344,0.047,-1.207
190,-0.324,0.184,-1.082
191,0.012,-0.113,-1.188
192,0.102,-0.207,-1.211
193,-0.172,0.324,-0.930
194,-0.328,0.297,-1.152
195,-0.051,0.000,-1.305
196,-0.004,0.039,-1.133
197,-0.102,-0.023,-1.078
198,-0.156,0.098,-0.891
199,-0.223,0.285,-0.836
200,-0.055,0.102,-0.957
201,0.180,-0.219,-0.996
202,0.078,-0.242,-0.984
203,-0.199,0.020,-0.824
204,-0.410,0.098,-0.836
205,-0.379,0.156,-0.836
206,-0.223,0.113,-0.820
207,0.109,-0.242,-1.047
208,0.109,-0.191,-0.957
209,-0.164,0.086,-0.848
210,0.090,-0.008,-1.043
211,0.410,-0.012,-0.941
212,0.215,0.027,-0.961
213,0.012,-0.152,-1.227
214,-0.324,0.027,-1.121
215,-0.297,0.133,-1.148
216,0.090,0.137,-0.973
217,0.156,0.102,-0.863
218,0.027,-0.027,-1.121
219,-0.090,-0.031,-1.152
220,-0.133,0.066,-1.055
221,0.047,0.230,-0.887
222,0.285,0.176,-0.805
223,0.281,0.016,-0.941
224,0.066,-0.082,-1.039
225,0.066,-0.004,-0.848
226,0.422,-0.074,-0.895
227,0.441,-0.031,-0.797
228,0.188,0.043,-0.754
229,-0.156,-0.086,-1.047
230,-0.430,-0.066,-1.098
231,-0.414,0.090,-0.977
232,-0.129,0.109,-0.984
233,0.023,0.109,-0.887
234,-0.020,0.070,-1.016
235,-0.137,-0.012,-1.148
236,-0.047,-0.035,-1.098
237,0.203,-0.062,-1.137
238,0.156,0.023,-1.031
239,-0.012,0.082,-1.008
240,0.000,-0.066,-1.230
241,-0.070,-0.035,-1.113
242,0.180,-0.012,-0.965
243,0.398,0.004,-0.879
244,0.246,0.062,-0.750
245,-0.078,0.117,-0.867
246,-0.117,-0.078,-1.027
247,-0.121,0.004,-0.895
248,0.102,0.000,-0.902
249,0.191,0.012,-0.848
250,0.094,0.105,-0.805
251,0.117,0.016,-0.965
252,0.223,-0.133,-0.969
253,0.176,-0.090,-1.039
254,-0.020,0.039,-1.035
255,-0.191,0.117,-0.965
256,-0.336,0.125,-1.129
257,-0.270,0.027,-1.129
258,-0.102,-0.043,-1.078
259,-0.094,0.062,-1.059
260,-0.098,0.043,-1.020
261,-0.180,0.191,-0.938
262,-0.023,-0.020,-1.117
263,0.141,-0.055,-0.988
264,0.148,0.043,-0.918
265,0.086,0.031,-0.953
266,0.129,0.055,-0.898
267,0.086,0.059,-0.969
268,0.250,-0.129,-0.984
269,0.301,-0.074,-0.852
270,0.121,0.004,-0.910
271,0.047,-0.008,-0.895
272,-0.047,0.094,-0.879
273,-0.133,0.055,-1.055
274,-0.004,0.023,-0.980
275,0.000,0.074,-0.980
276,-0.070,-0.004,-1.082
277,0.051,0.039,-0.984
278,-0.004,0.066,-1.047
279,0.105,-0.043,-1.090
280,0.094,-0.055,-1.102
281,-0.090,0.027,-1.074
282,-0.125,-0.016,-1.043
283,-0.188,0.113,-0.945
284,-0.277,0.086,-1.004
285,-0.051,0.000,-0.922
286,-0.152,-0.016,-0.992
287,-0.043,-0.020,-0.992
288,0.215,0.055,-0.785
289,0.109,0.055,-0.887
290,0.164,-0.031,-0.906
291,0.238,0.016,-0.871
292,0.168,0.078,-0.867
293,0.219,-0.113,-1.023
294,0.219,0.016,-0.965
295,0.223,0.023,-0.957
296,0.246,-0.078,-1.000
297,-0.082,0.055,-1.039
298,-0.219,0.000,-1.176
299,-0.250,0.082,-1.082
300,-0.297,0.059,-1.133
301,-0.078,0.023,-1.047
302,0.047,0.016,-0.992
303,-0.074,0.035,-1.055
304,0.047,0.000,-0.977
305,0.137,0.020,-0.949
306,0.070,0.016,-0.953
307,0.176,-0.043,-0.930
308,-0.031,0.027,-0.969
309,0.020,0.020,-0.906
310,0.062,0.023,-0.836
311,-0.035,-0.012,-0.930
312,0.039,-0.031,-0.969
313,0.016,0.043,-0.934
314,-0.188,0.012,-1.082
315,-0.016,-0.020,-0.988
316,0.070,0.047,-0.977
317,0.020,0.059,-1.023
318,0.121,0.008,-1.035
319,0.113,-0.020,-1.102
320,0.293,-0.035,-1.051
321,0.301,0.008,-0.902
322,0.035,0.012,-0.988
323,-0.078,0.105,-0.910
324,-0.199,0.164,-0.887
325,-0.312,0.000,-1.039
326,-0.199,0.055,-0.895
327,-0.121,0.035,-0.938
328,-0.113,0.023,-0.949
329,-0.004,0.051,-0.895
330,-0.059,0.000,-1.043
331,-0.023,-0.059,-1.082
332,0.031,-0.020,-1.047
333,0.020,0.027,-1.078
334,0.168,-0.016,-1.008
335,0.168,-0.059,-1.027
336,0.117,-0.016,-0.965
337,0.195,-0.027,-0.961
338,0.059,-0.031,-1.051
339,-0.039,0.051,-0.938
340,-0.059,0.059,-0.938
341,-0.102,0.051,-0.965
342,-0.078,0.113,-0.898
343,0.008,0.094,-0.922
344,0.145,-0.023,-1.016
345,0.191,0.039,-0.941
346,0.133,0.016,-1.055
347,0.043,0.035,-1.004
348,0.074,0.074,-1.000
349,0.020,-0.020,-1.074
350,-0.020,-0.016,-1.047
351,-0.105,-0.027,-1.086
352,-0.113,0.031,-0.969
353,-0.090,0.105,-0.859
354,-0.117,0.055,-0.949
