Sample,X,Y,Z
0,0.039,-0.004,-1.047
1,0.000,0.016,-0.992
2,0.004,0.023,-0.988
3,0.008,0.023,-0.992
4,0.012,0.016,-0.992
5,0.016,0.012,-0.988
6,0.027,0.020,-0.988
7,0.039,0.012,-0.992
8,0.035,0.020,-0.988
9,0.031,0.016,-0.984
10,0.035,0.012,-0.984
11,0.027,0.016,-0.984
12,0.016,0.020,-0.988
13,0.020,0.012,-0.984
14,0.023,0.020,-0.988
15,0.008,0.020,-0.984
16,0.004,0.020,-0.980
17,0.000,0.016,-0.992
18,0.000,0.020,-0.984
19,0.008,0.008,-0.996
20,0.031,0.051,-0.984
21,0.020,0.016,-0.996
22,0.016,0.027,-0.984
23,0.027,0.020,-0.988
24,0.031,0.016,-0.984
25,0.039,0.016,-0.984
26,0.031,0.020,-0.984
27,0.023,0.020,-0.988
28,0.020,0.020,-0.984
29,0.023,0.020,-0.973
30,0.020,0.020,-0.992
31,0.012,0.012,-0.984
32,0.000,0.016,-0.988
33,0.008,0.020,-0.988
34,0.008,0.020,-0.984
35,0.004,0.016,-0.988
36,0.004,0.020,-0.992
37,0.012,0.016,-0.984
38,0.023,0.020,-0.992
39,0.027,0.016,-0.988
40,0.031,0.016,-0.977
41,0.027,0.016,-0.984
42,0.023,0.016,-0.988
43,0.035,0.016,-0.984
44,0.031,0.016,-0.980
45,0.023,0.023,-0.984
46,0.016,0.012,-0.988
47,0.012,0.012,-0.980
48,0.012,0.020,-0.980
49,0.004,0.016,-0.992
50,-0.004,0.023,-0.980
51,0.008,0.012,-0.984
52,0.016,0.008,-0.996
53,0.012,0.020,-0.988
54,0.012,0.012,-0.988
55,0.023,0.016,-0.984
56,0.027,0.012,-0.992
57,0.035,0.016,-0.984
58,0.035,0.016,-0.984
59,0.027,0.020,-0.984
60,0.039,0.062,-0.973
61,0.023,0.020,-0.984
62,0.020,0.020,-0.988
63,0.012,0.020,-0.984
64,0.008,0.020,-0.988
65,0.000,0.016,-0.992
66,0.008,0.020,-0.977
67,0.008,0.016,-0.980
68,0.004,0.023,-0.988
69,0.004,0.012,-0.996
70,0.012,0.016,-0.992
71,0.027,0.016,-0.988
72,0.031,0.012,-0.992
73,0.039,0.012,-0.984
74,0.031,0.020,-0.988
75,0.035,0.016,-0.984
76,0.031,0.012,-0.988
77,0.027,0.012,-0.988
78,0.023,0.016,-0.988
79,0.012,0.016,-0.977
80,0.004,0.066,-0.988
81,0.008,0.012,-0.992
82,0.000,0.020,-0.984
83,0.004,0.016,-0.977
84,0.012,0.012,-0.988
85,0.016,0.020,-0.992
86,0.012,0.016,-0.992
87,0.020,0.020,-0.984
88,0.016,0.020,-0.992
89,0.027,0.016,-0.992
90,0.031,0.016,-0.980
91,0.035,0.012,-0.980
92,0.031,0.027,-0.984
93,0.023,0.020,-0.980
94,0.020,0.016,-0.980
95,0.020,0.020,-0.988
96,0.020,0.020,-0.980
97,0.004,0.023,-0.984
98,-0.004,0.027,-0.992
99,0.047,0.008,-1.004
100,0.125,0.031,-0.957
101,0.082,0.012,-0.980
102,0.000,0.055,-0.980
103,-0.043,0.086,-0.992
104,-0.004,0.105,-0.988
105,0.059,0.074,-0.980
106,0.059,0.062,-1.000
107,0.031,0.125,-0.996
108,0.043,0.191,-0.969
109,0.090,0.199,-0.953
110,0.117,0.168,-0.996
111,0.117,0.203,-0.996
112,0.098,0.293,-0.965
113,0.078,0.348,-0.938
114,-0.062,0.445,-0.965
115,0.078,0.375,-1.191
116,0.695,0.418,-0.926
117,0.832,0.770,-0.332
118,0.055,0.367,-0.770
119,-1.109,-0.438,-1.762
120,-1.660,-0.266,-1.863
121,-0.898,0.766,-0.781
122,0.305,1.254,-0.082
123,0.824,0.883,-0.270
124,0.277,-0.258,-1.199
125,-0.863,-0.820,-1.781
126,-1.566,0.660,-1.152
127,-1.219,1.922,-0.207
128,0.586,1.934,0.555
129,1.609,0.324,-1.195
130,1.340,-1.180,-1.480
131,-0.305,-0.699,-1.020
132,0.164,0.738,-0.461
133,1.992,1.992,1.234
134,1.973,1.035,-0.258
135,0.125,-1.410,-1.516
136,-1.859,-1.992,-1.992
137,-1.684,-0.363,-1.176
138,-0.469,1.992,1.633
139,1.211,1.988,1.047
140,1.828,-0.281,-1.008
141,0.570,-1.898,-1.523
142,-1.895,-1.992,-1.867
143,-1.816,1.102,0.582
144,-0.539,1.992,0.664
145,1.551,1.695,0.895
146,0.449,-0.828,-1.363
147,-1.082,-1.992,-1.930
148,-1.613,-0.535,-1.359
149,-1.359,1.801,0.375
150,0.879,1.879,0.340
151,1.992,0.938,-0.641
152,1.238,-1.691,-1.938
153,-0.137,-1.457,-1.965
154,-0.918,1.832,0.070
155,-0.066,1.922,-0.281
156,0.906,1.277,-0.453
157,1.543,0.027,-1.324
158,0.844,-1.062,-1.527
159,-0.477,0.742,-0.469
160,-1.184,1.504,-0.441
161,-0.312,0.113,-1.137
162,1.016,-0.199,-0.605
163,0.746,-0.297,-1.102
164,-0.152,0.918,0.023
165,-1.043,1.098,-0.723
166,-1.418,0.406,-1.133
167,-0.324,-0.895,-1.379
168,0.293,-0.328,-0.973
169,0.453,0.410,-0.465
170,-0.016,0.934,-0.418
171,-0.758,0.195,-1.477
172,-0.875,-0.547,-1.816
173,0.105,-0.629,-1.551
174,0.883,0.305,-0.621
175,0.414,1.254,-0.074
176,0.066,0.945,-0.691
177,-0.184,-0.203,-1.750
178,0.055,-0.562,-1.711
179,0.625,0.340,-0.660
180,0.562,1.141,-0.012
181,0.137,1.156,-0.449
182,-0.258,0.223,-1.328
183,-0.305,-0.273,-1.684
184,0.234,0.293,-0.879
185,0.449,0.574,-0.613
186,0.133,1.004,-0.523
187,-0.219,0.574,-1.094
188,-0.355,-0.168,-1.785
189,-0.152,-0.141,-1.496
190,0.219,0.406,-0.816
191,0.301,0.633,-0.562
192,-0.039,0.309,-1.094
193,-0.230,-0.312,-1.539
194,-0.199,-0.141,-1.199
195,0.031,0.180,-0.750
196,0.340,0.273,-0.469
197,0.012,0.133,-0.637
198,-0.156,-0.168,-1.047
199,0.000,-0.242,-1.004
200,0.059,0.184,-0.637
201,0.227,0.344,-0.422
202,0.125,0.164,-0.609
203,-0.324,-0.230,-1.258
204,-0.340,-0.074,-1.242
